Client,Vehicle,Date,PaidInFull
SLE32,VHC2,2019-11-18,FALSE
SLE38,VHC86,2019-02-20,FALSE
SLE16,VHC109,2019-06-16,TRUE
SLE12,VHC102,2019-12-01,FALSE
SLE26,VHC177,2019-08-20,FALSE
SLE26,VHC149,2019-03-23,FALSE
SLE5,VHC83,2019-01-01,TRUE
SLE26,VHC92,2019-01-10,FALSE
SLE28,VHC121,2019-08-07,FALSE
SLE14,VHC36,2019-03-19,TRUE
SLE28,VHC182,2019-02-26,TRUE
SLE35,VHC92,2019-11-01,FALSE
SLE45,VHC93,2019-08-16,TRUE
SLE18,VHC140,2019-04-14,FALSE
SLE7,VHC22,2019-06-03,TRUE
SLE24,VHC37,2019-08-07,TRUE
SLE3,VHC52,2019-10-19,TRUE
SLE9,VHC128,2019-08-21,TRUE
SLE11,VHC70,2019-09-28,FALSE
SLE27,VHC190,2019-12-29,FALSE
SLE39,VHC185,2019-11-22,FALSE
SLE36,VHC199,2019-05-25,TRUE
SLE9,VHC113,2019-02-03,FALSE
SLE7,VHC130,2019-01-21,FALSE
SLE33,VHC89,2019-04-16,FALSE
SLE1,VHC184,2019-04-01,TRUE
SLE38,VHC147,2019-01-06,FALSE
SLE18,VHC186,2019-05-19,FALSE
SLE11,VHC16,2019-02-06,TRUE
SLE38,VHC102,2019-08-10,FALSE
SLE36,VHC23,2019-02-02,FALSE
SLE35,VHC151,2019-03-04,TRUE
SLE18,VHC123,2019-06-27,TRUE
SLE20,VHC96,2019-01-13,TRUE
SLE4,VHC69,2019-04-07,TRUE
SLE16,VHC93,2019-05-07,TRUE
SLE12,VHC193,2019-03-14,FALSE
SLE23,VHC120,2019-09-22,FALSE
SLE23,VHC124,2019-04-23,TRUE
SLE20,VHC9,2019-09-21,FALSE
SLE45,VHC137,2019-03-18,FALSE
SLE23,VHC82,2019-06-27,TRUE
SLE26,VHC29,2019-04-27,TRUE
SLE7,VHC6,2019-05-20,FALSE
SLE18,VHC3,2019-04-20,FALSE
SLE15,VHC163,2019-10-24,FALSE
SLE32,VHC25,2019-01-17,TRUE
SLE14,VHC34,2019-11-06,TRUE
SLE16,VHC121,2019-11-05,TRUE